Order_ID,Order_Date,Region,Country,Sales_Rep,Team,Customer_ID,Customer_Segment,Product_Category,Product_Name,Stage,Units_Sold,Revenue,Target,Deal_Size
4971,2021/1/1,North,USA,David Lee,Team C,C3971,Corporate,Furniture,Office Chair,Won,6,1662,1447,1665
2347,2021/1/2,South,Brazil,Alice Johnson,Team B,C1347,SME,Appliances,Microwave Max,Opportunity,2,464,875,928
2588,2021/1/2,South,Brazil,Maria Garcia,Team C,C1588,Retail,Appliances,Refrigerator,Opportunity,5,132,277,264
5092,2021/1/2,East,China,Priya Sharma,Team B,C4092,Retail,Appliances,Microwave Max,Opportunity,5,610,1080,1220
1182,2021/1/2,North,Canada,David Lee,Team A,C0182,Retail,Electronics,Smartphone Z,Lost,0,0,854,0
4396,2021/1/3,North,Canada,Priya Sharma,Team A,C3396,Corporate,Furniture,Standing Desk,Lost,0,0,1225,0
1923,2021/1/3,South,Brazil,Wei Zhang,Team B,C0923,SME,Electronics,Tablet Air,Won,9,900,1382,908
4089,2021/1/4,West,UK,David Lee,Team B,C3089,SME,Electronics,Laptop Pro X,Opportunity,3,162,287,324
1389,2021/1/4,South,Argentina,Alice Johnson,Team A,C0389,Corporate,Appliances,Refrigerator,Won,7,1351,1147,1354
5630,2021/1/5,South,Argentina,John Smith,Team A,C4630,Corporate,Electronics,Smartphone Z,Won,8,848,930,851
3050,2021/1/6,West,Germany,Wei Zhang,Team B,C2050,Retail,Appliances,Microwave Max,Lost,0,0,512,0
1006,2021/1/6,North,Canada,Priya Sharma,Team B,C0006,SME,Appliances,Refrigerator,Won,3,1956,1729,1956
2389,2021/1/6,East,India,Maria Garcia,Team A,C1389,Corporate,Appliances,Microwave Max,Opportunity,4,318,173,636
2155,2021/1/7,South,Argentina,Maria Garcia,Team C,C1155,SME,Furniture,Standing Desk,Won,9,279,550,287
1474,2021/1/7,North,USA,Maria Garcia,Team A,C0474,Retail,Furniture,Office Chair,Opportunity,4,492,513,985
2395,2021/1/8,North,USA,David Lee,Team B,C1395,Retail,Appliances,Refrigerator,Lost,0,0,1427,0
2934,2021/1/8,North,USA,Priya Sharma,Team C,C1934,Retail,Furniture,Office Chair,Won,5,890,1037,893
2766,2021/1/9,West,Germany,Wei Zhang,Team C,C1766,SME,Appliances,Microwave Max,Opportunity,4,727,562,1455
3985,2021/1/9,East,China,Maria Garcia,Team A,C2985,Retail,Furniture,Standing Desk,Lost,0,0,1021,0
1446,2021/1/9,North,USA,Maria Garcia,Team B,C0446,Retail,Appliances,Refrigerator,Opportunity,1,617,618,1234
5875,2021/1/10,East,China,David Lee,Team B,C4875,Retail,Electronics,Laptop Pro X,Lost,0,0,1676,0
